GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD4BE001,NAME_M,AD4BM001
"G00601","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"ZCTA5 00601",0.6062,"ZCTA5 00601",0.0230
"G00602","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"ZCTA5 00602",0.4876,"ZCTA5 00602",0.0156
"G00603","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"ZCTA5 00603",0.5410,"ZCTA5 00603",0.0182
"G00606","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"ZCTA5 00606",0.4934,"ZCTA5 00606",0.0337
"G00610","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"ZCTA5 00610",0.4522,"ZCTA5 00610",0.0216
"G00612","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"ZCTA5 00612",0.5359,"ZCTA5 00612",0.0174
"G00616","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"ZCTA5 00616",0.5380,"ZCTA5 00616",0.0389
"G00617","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"ZCTA5 00617",0.5055,"ZCTA5 00617",0.0254
"G00622","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"ZCTA5 00622",0.6144,"ZCTA5 00622",0.0849
"G00623","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"ZCTA5 00623",0.5223,"ZCTA5 00623",0.0185
"G00624","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"ZCTA5 00624",0.4885,"ZCTA5 00624",0.0209
"G00627","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"ZCTA5 00627",0.5046,"ZCTA5 00627",0.0314
"G00631","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"ZCTA5 00631",0.5759,"ZCTA5 00631",0.0660
"G00637","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"ZCTA5 00637",0.5044,"ZCTA5 00637",0.0233
"G00638","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"ZCTA5 00638",0.5057,"ZCTA5 00638",0.0245
"G00641","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"ZCTA5 00641",0.5056,"ZCTA5 00641",0.0188
"G00646","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"ZCTA5 00646",0.5431,"ZCTA5 00646",0.0232
"G00647","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"ZCTA5 00647",0.4457,"ZCTA5 00647",0.0343
"G00650","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"ZCTA5 00650",0.4633,"ZCTA5 00650",0.0300
"G00652","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"ZCTA5 00652",0.5200,"ZCTA5 00652",0.0444
"G00653","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"ZCTA5 00653",0.5522,"ZCTA5 00653",0.0548
"G00656","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"ZCTA5 00656",0.5000,"ZCTA5 00656",0.0213
"G00659","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"ZCTA5 00659",0.4874,"ZCTA5 00659",0.0166
"G00660","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"ZCTA5 00660",0.4589,"ZCTA5 00660",0.0381
"G00662","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"ZCTA5 00662",0.5161,"ZCTA5 00662",0.0280
"G00664","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"ZCTA5 00664",0.4624,"ZCTA5 00664",0.0264
"G00667","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"ZCTA5 00667",0.5189,"ZCTA5 00667",0.0253
"G00669","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"ZCTA5 00669",0.5644,"ZCTA5 00669",0.0357
"G00670","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"ZCTA5 00670",0.5129,"ZCTA5 00670",0.0338
"G00674","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"ZCTA5 00674",0.5173,"ZCTA5 00674",0.0177
