GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADNKE001,NAME_M,ADNKM001
"G00601","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,,"ZCTA5 00601",10816,"ZCTA5 00601",1387
"G00602","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,,"ZCTA5 00602",16079,"ZCTA5 00602",1219
"G00603","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,,"ZCTA5 00603",16804,"ZCTA5 00603",855
"G00606","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,,"ZCTA5 00606",12512,"ZCTA5 00606",2932
"G00610","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,,"ZCTA5 00610",17475,"ZCTA5 00610",1319
"G00612","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,,"ZCTA5 00612",17229,"ZCTA5 00612",1021
"G00616","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,,"ZCTA5 00616",13705,"ZCTA5 00616",1577
"G00617","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,,"ZCTA5 00617",15361,"ZCTA5 00617",1534
"G00622","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,,"ZCTA5 00622",15689,"ZCTA5 00622",3533
"G00623","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,,"ZCTA5 00623",16593,"ZCTA5 00623",1154
